unique_id,num_votes,num_good_votes,classifiable_frac,extended_frac,dsk_frac,sph_frac,pec_frac,smooth_frac,class,confident,RA,DEC
egs11743,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.5,disk,True,214.843031204,52.8029247851
egs11764,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.1666666666666666,peculiar,False,214.9013608208,52.8442684178
egs11775,6.0,6.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,disk,False,214.8936886158,52.840038413
egs11789,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.5,disk,False,214.893496186,52.8394917875
egs11790,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,peculiar,False,214.9040472141,52.8457063202
egs11800,6.0,6.0,1.0,1.0,0.5,0.0,0.5,1.0,ambiguous,False,214.8507812529,52.8096328197
egs11820,6.0,1.0,0.1666666666666666,1.0,1.0,0.0,0.0,1.0,,False,214.8976001579,52.8428899542
egs11832,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.8279247418,52.7934902492
egs11842,6.0,6.0,1.0,1.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,1.0,disk,False,214.8418433744,52.8029885447
egs11857,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.8815912602,52.8306543811
egs11858,6.0,0.0,0.0,1.0,,,,,,True,214.8843186096,52.8337586641
egs11859,6.0,6.0,1.0,1.0,0.1666666666666666,0.8333333333333334,0.0,1.0,spheroid,False,214.8439307482,52.8048260544
egs11860,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.8634653495,52.8189307064
egs11864,6.0,6.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,disk,False,214.9013866755,52.8459479149
egs11878,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.1666666666666666,peculiar,True,214.8286406497,52.7935977206
egs11893,6.0,5.0,0.8333333333333334,1.0,0.0,0.8,0.2,1.0,spheroid,False,214.8280820149,52.7939232677
egs11914,6.0,6.0,1.0,1.0,0.5,0.1666666666666666,0.3333333333333333,0.6666666666666666,disk,False,214.8887009312,52.8371664109
egs11932,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333334,disk,False,214.8819003091,52.8321745579
egs11944,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,peculiar,True,214.8310683927,52.795899441
egs11946,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,1.0,disk,False,214.8403454001,52.802920111
egs11950,6.0,6.0,1.0,1.0,0.0,0.1666666666666666,0.8333333333333334,0.1666666666666666,peculiar,False,214.8529644055,52.8114609276
egs11951,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.8333333333333334,peculiar,False,214.903251542,52.8476736585
egs11957,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.8333333333333334,peculiar,False,214.9052372297,52.8491361842
egs11975,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.8333333333333334,peculiar,True,214.9038426951,52.8480828646
egs11976,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.5,disk,False,214.83316846,52.7979804631
egs11981,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.5,peculiar,False,214.9132188686,52.854288952
egs12002,6.0,6.0,1.0,1.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,1.0,spheroid,False,214.8520818785,52.8115930739
egs12033,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,disk,False,214.9054995611,52.8493747902
egs12035,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,1.0,peculiar,False,214.8922442413,52.8403705787
egs12039,6.0,6.0,1.0,1.0,0.1666666666666666,0.3333333333333333,0.5,0.6666666666666666,peculiar,False,214.8617032149,52.8184540519
egs12064,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,peculiar,True,214.8600865327,52.8175806696
egs12065,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.5,disk,False,214.8855928455,52.8350674954
egs12080,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.5,disk,False,214.9120487474,52.8544084915
egs12088,6.0,6.0,1.0,1.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,1.0,spheroid,False,214.8823815652,52.8334423134
egs12111,6.0,0.0,0.8333333333333334,0.1666666666666666,,,,,psf,False,214.8302371035,52.7965605204
egs12119,6.0,6.0,1.0,1.0,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.3333333333333333,peculiar,False,214.9020569685,52.8470451579
egs12134,6.0,6.0,1.0,1.0,0.5,0.1666666666666666,0.3333333333333333,1.0,disk,False,214.8795132423,52.8317694195
egs12140,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.3333333333333333,disk,False,214.850246606,52.8089667053
egs12149,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,1.0,disk,False,214.8785006873,52.8308396031
egs12156,6.0,5.0,0.8333333333333334,1.0,0.0,0.4,0.6,1.0,peculiar,False,214.8323713289,52.7983130207
egs12172,6.0,6.0,1.0,1.0,0.3333333333333333,0.1666666666666666,0.5,0.8333333333333334,peculiar,False,214.8504318837,52.8107187972
egs12174,6.0,6.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,disk,False,214.8989449284,52.845763978
egs12187,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.3333333333333333,disk,False,214.8380008464,52.8020894729
egs12193,6.0,5.0,0.8333333333333334,1.0,0.4,0.0,0.6,0.6,peculiar,False,214.839968413,52.8039191858
egs12198,6.0,6.0,1.0,1.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,1.0,disk,False,214.8326591886,52.7987348314
